“ема 1: остановка, маршрут, быть, улица, автобус, путь, работать, движение, лини€, центр
“ема 2: движение, улица, быть, центр, маршрут, поездка, путь, работать, автобус, остановка
“ема 3: поездка, быть, движение, центр, маршрут, путь, поезд, улица, работать, лини€
“ема 4: движение, быть, путь, поездка, маршрут, поезд, центр, лини€, автобус, работать
“ема 5: автобус, быть, улица, маршрут, работать, остановка, движение, путь, лини€, центр
“ема 6: путь, поезд, движение, быть, поездка, остановка, маршрут, лини€, автобус, улица
“ема 7: лини€, быть, маршрут, движение, путь, автобус, поезд, поездка, работать, остановка
“ема 8: остановка, автобус, улица, работать, быть, маршрут, центр, движение, путь, поезд
“ема 9: поезд, лини€, быть, движение, маршрут, работать, поездка, подслушать, путь, остановка
“ема 10: центр, движение, быть, поездка, улица, маршрут, путь, работать, автобус, лини€
“ема 11: маршрут, быть, автобус, работать, путь, улица, движение, лини€, поездка, остановка
“ема 12: улица, маршрут, быть, путь, автобус, работать, движение, остановка, центр, лини€
“ема 13: подслушать, поезд, лини€, быть, путь, движение, автобус, остановка, маршрут, работать
“ема 14: поезд, быть, движение, поездка, остановка, маршрут, путь, лини€, подслушать, автобус
“ема 15: работать, путь, быть, автобус, движение, маршрут, улица, лини€, центр, поездка
